Sat Sep 11 21:39:26 2021,39,21,11,9,2021,,"Fucked around for the first three hours, then dragged my ass out of bed to go help rohen",fixed rohen's stuff and went thrift shopping with him downtown,spent quality time with aislyn and ignored my assignments,fixing rellationship with aisly,skipping work,get cvtc classes done and enjoy time with james!,,,,,,,,,,,,,,,,,,,,,,,,
Mon Sep 13 22:15:51 2021,15,22,13,9,2021,,Very grumpy because Aislyn woke me up,"made $70 in stock market, and slept through classes",organized coding club and first board meeting!,board meeting,sleep,"get more sleep, start off strong with coding club, and study for psych exam",,,,,,,,,,,,,,,,,,,,,,,,
Tue Sep 14 21:35:28 2021,35,21,14,9,2021,,Was lazy and didn't drive to school,Lost $92 in the stock market today,Spent 4 hours with Aislyn,Staying together without being too upset,Stupid cornfield,Get blood drive done,,,,,,,,,,,,,,,,,,,,,,,,
Wed Sep 15 21:48:54 2021,48,21,15,9,2021,,"Biked to school with good smoothie and read book, ask yourself which behaviors were helful!!","Lost $80 in stocks today, ate with swamper and had semi-good discussion, scored poorly on bio and psych tests due to lack of studying for psych and bad lababeling on the bio","Blood draw, therapy, and chillax",Blood draw,losing fuck ton of money,"Not lose money, code, and get shit done at night",,,,,,,,,,,,,,,,,,,,,,,,
Thu Sep 16 21:33:55 2021,33,21,16,9,2021,,"was lathargic, even drove to school",made $32 todayy and had panic about level of homework,"went to coding club where no one showed up, ate dinner with swamp, and worked on homework",coding progress,lack of sociability,stay focused on what matters with bio and talk to people,,,,,,,,,,,,,,,,,,,,,,,,
Fri Sep 17 22:57:12 2021,57,22,17,9,2021,,Biked to school without bringing along bio textbooks,"Bought textbook, made $40 in stonks, and ate lunch with Isabelle","Had very inefficient work with CVTC Managing Operations for no reason. You can do this, I believe in you",Stock market gains!,CVTC panic ,"finish some cvtc, see aislyn, finish the rest",,,,,,,,,,,,,,,,,,,,,,,,
Sat Sep 18 21:38:14 2021,38,21,18,9,2021,,got off to a good start with CVTC classes,spent time with Aislyn that went well until she started crying,finished one class worth of CVTC and reviewed classes for tomorrow,my attitude about CVTC classes,the amount of work I got done,finish my classes and spend some quality time with Aislyn,,,,,,,,,,,,,,,,,,,,,,,,
Sun Sep 19 21:40:52 2021,40,21,19,9,2021,,VERY lazy start to the morning,"Ended up a bit better, but wasted a lot of mood and time in a message to techer that was not helpful","Spent wonderful evening with Aislyn, then learned how serious Rohen is getting with the phone business",Love with aislyn,Procrastinating at beginning of day,"Oh fuck, get business administration done",,,,,,,,,,,,,,,,,,,,,,,,
Mon Sep 20 21:36:07 2021,36,21,20,9,2021,,Went to skool and had okay conversation with peeps,Lost 400 fucking dollars in the stock market! You're so stupid,Had wonderful chat with Rohen and school board,Rohen!,Gotta stop loosing money on stocks,Not loose money on stocks,,,,,,,,,,,,,,,,,,,,,,,,
Tue Sep 21 21:33:04 2021,33,21,21,9,2021,,Biked to school but felt like shit because lack of sleep,"Got some decent work for flashcards done, but wasted a bunch of time on unimportant stuff, plus lost $25 in stonks",I now own EauClaireTech.com!!,Just doing EauClaireTech,Losing more money in stocks,Do my fucking readings!!!,,,,,,,,,,,,,,,,,,,,,,,,
Wed Sep 22 21:18:57 2021,18,21,22,9,2021,,"Didn't bike to school unfortunately, but did get a decent amout of work done",Lost $5 in stocks AGAIN,"Put down $550 for a phone, we'll see if that works out",Just doing it with phones,"Stocks just aren't working out, need different strategy",Make little money on options but NOT LOOSE MONEY,,,,,,,,,,,,,,,,,,,,,,,,
Thu Sep 23 22:04:29 2021,4,22,23,9,2021,,"Was super lazy and didn't bike to school, shame on you!",Lost fuck ton in stonks,"Coasted through calculus, you'll pay for this later!",Pushing tonight,Not pusing prior to tonight,Get shit done before resting!,,,,,,,,,,,,,,,,,,,,,,,,
Fri Sep 24 22:00:01 2021,0,22,24,9,2021,,"didn't bike to school, but did get an okay start on homework",procrastinated on Bio a lot more than I should have,"spent okay time with Aislyn, but forgot about Bio assignment!",getting a more concrete Bio plan,my time with Aislyn due to lack of sleep,get CVTC & Psych done,,,,,,,,,,,,,,,,,,,,,,,,
Sat Sep 25 22:08:26 2021,8,22,25,9,2021,,Lazy start to day,Grinded through almost all of CVTC classes,Took larger than necessary break,Middle of day push through most difficult classes,Start of day and big break in the middle,"Finish CVTC, then finish ECASD",,,,,,,,,,,,,,,,,,,,,,,,
Sun Sep 26 21:28:04 2021,28,21,26,9,2021,,"Had beter start, should have exercised","Ate doughnut, really fucking stupid idea, took large break but less large than last time",Finished bio notes!!!!!!!!!!,Finishing bio notes!!!,Not finishing everything else,"Get through emails, finish psych study guide, and code like a madman",,,,,,,,,,,,,,,,,,,,,,,,
Mon Sep 27 22:47:15 2021,47,22,27,9,2021,,"had virtually no sleep, but stuck to good habits and got off to a good start",accomplished everything I set out to do besides finishing the flaschard program,"board meeting, did not go well",making it through the day,sleep,sleep,,,,,,,,,,,,,,,,,,,,,,,,
Tue Sep 28 21:48:32 2021,48,21,28,9,2021,,Slept in,Fucked up in bio,Spent okay quality time with Aislyn and finished book,Aislyn,Got absolutely no school work done,Flashcard terms program finish,,,,,,,,,,,,,,,,,,,,,,,,
Wed Sep 29 22:15:21 2021,15,22,29,9,2021,,Laid in mom's bed for a while planning out coding,"Had great meeting with Brecken's mom, scored good on the psych test, had fun","Found out how shitty I scored on my CVTC work. I will need to do way better than 53% moving forward. Had aislyn over to pick out a dress, spent a few hours with her before going home. Made decent plan for getting work done tomorrow",Counselor meeting stuff,Stressing out while Aislyn was around,"Get Bio pogl done, finish readings, study flashcards",,,,,,,,,,,,,,,,,,,,,,,,
Thu Sep 30 22:39:41 2021,39,22,30,9,2021,,"Slept in again you idiot, tomorrow you gotta get up","Got real confused during bio lab, but started to make good headway during study hall","Worked on a bit of bio homework after school in coding club, then went home and took a massive break before crusing through managing operatons in 2 hours",Speed of completion for managing operations,Giving in to ego,"Get as much homework done as possible during school and right after, then have a good time with aislyn",,,,,,,,,,,,,,,,,,,,,,,,
Fri Oct  1 21:25:19 2021,25,21,1,10,2021,,"had good, but slow start so didn't bike to school",got a bit of homework done but talked with people way more than I should have,"spent afternoon with Aislyn, did get calculus done though",choosing to stay home tomorrow,aislyn,make homecomming work,,,,,,,,,,,,,,,,,,,,,,,,
Sat Oct  2 23:32:35 2021,32,23,2,10,2021,,Ate breakfast with aunt Sarah,AP Bio homework,Aislyn,Aislyn quality time,Diet,CVTC homework,,,,,,,,,,,,,,,,,,,,,,,,
Sun Oct  3 23:12:04 2021,12,23,3,10,2021,,"Lazy start, multiple hours of Youtube",Listened to book instead of doing homework,Finally got some homework done,Reading book,Time used reading book,Finish CVTC homework,,,,,,,,,,,,,,,,,,,,,,,,
Mon Oct  4 22:20:04 2021,20,22,4,10,2021,,"Super tired, managed to get to school on time","Had decent conversatons, but minimal homework done",Decent board metings,Mood,SLEEP,SLEEP,,,,,,,,,,,,,,,,,,,,,,,,
Tue Oct  5 21:54:58 2021,54,21,5,10,2021,,"Lazy start, had smoothie, sat in first hour, got most of business administration done","wasted fourth hour talking, could have been more productive. In the future, talk for about 15 then get into the thick of work","crashed and burned during math test due to lack of sleep, missed coding club, barely got any homework done tonight",self-reflection of sleep being affected,how long it took to go to bed,psych study all day brooo,,,,,,,,,,,,,,,,,,,,,,,,
Wed Oct  6 22:51:28 2021,51,22,6,10,2021,,Laid in bed,Panic attack,Coded,Coding baby!,Sleep,Get on work hard,,,,,,,,,,,,,,,,,,,,,,,,
Fri Oct  8 22:27:41 2021,27,22,8,10,2021,,U Chicago tour,"Cornered U Chicago dean & admissions officers, the secret is to show how I took initiative",Great conversation with mom about college,UChicago tour!!,Sleep,CVTC catch up,,,,,,,,,,,,,,,,,,,,,,,,
Sat Oct  9 21:20:17 2021,20,21,9,10,2021,,Lazy start with Youtube,Had bad day because low score on test,Super lazy end,Taking it easy,Getting less work done than I hoped,Finish me assignments,,,,,,,,,,,,,,,,,,,,,,,,
Sun Oct 10 21:37:26 2021,37,21,10,10,2021,,"Strong start, but didn't get straight to doing CVTC. Started around Noon on CVTC work",Procrastinated by helping Ethan with homework and watching YouTube,Finished CVTC for the week besides Business Administration,Finishing CVTC work ,Aislyn time together,"Finish Business Administration work, calc retake, and stay on top of bio & psych homework",,,,,,,,,,,,,,,,,,,,,,,,
Mon Oct 11 21:48:25 2021,48,21,11,10,2021,,"Great start, biked a bit late, but got work done!!!!","Good middle, studied well in bio, good chat in study hall, did calc retake","Biked home, got business administration but failed after that",General work ethic,Crashing after business administration,Finish psych notes & study for bio,,,,,,,,,,,,,,,,,,,,,,,,
Tue Oct 12 21:19:04 2021,19,21,12,10,2021,,"Poor start, very sleepy","Submitted business administration, asked a few good questions in bio","Code, code, and more code",Code!,Lack of study,Cram for tests,,,,,,,,,,,,,,,,,,,,,,,,
Wed Oct 13 21:53:38 2021,53,21,13,10,2021,,"Didn't get up out of bed, start habit of getting up immediately",Crammed effectively for test using flashcards_terminal.py,"Scored very well on tests, binged watched youtube, very bad ider, do not recommend to future self, code instead",Flashcards program works,Realization that working too much for what admissions officers want and not enough on my passion,"CVTC counselor meeting, Bouter meeting, self-improvement",,,,,,,,,,,,,,,,,,,,,,,,
